datetime,feed_flow,product_flow,reject_flow,temperature,feed_cond,reject_cond,product_cond,feed_ph,orp,reject_ph,product_ph,pressure_drop,feed_pressure,hpp_pressure,cf_pressure
Mon Apr 08 2019 10:00:00 GMT+0530,234,82.59,153,27.58,61617,90728,642,7.67,-16.53,7.73,6.55,0.97,62.31,32.3,2.99
Mon Apr 08 2019 11:00:00 GMT+0530,234,82.67,151,27.51,61737,90878,651,7.66,-16.44,7.76,6.55,0.97,62.33,32.33,2.98
Mon Apr 08 2019 12:00:00 GMT+0530,234,82.67,151,27.51,61737,90878,651,7.66,-16.44,7.76,6.55,0.97,62.33,32.33,2.98
Mon Apr 08 2019 13:00:00 GMT+0530,234,82.04,151,27.57,61656,90966,658,7.64,-15.31,7.73,6.55,0.97,62.24,32.361,2.99
Mon Apr 08 2019 14:00:00 GMT+0530,234,82.04,151,27.57,61656,90966,658,7.64,-15.31,7.73,6.55,0.97,62.24,32.361,2.99
Mon Apr 08 2019 15:00:00 GMT+0530,233,82.54,152,27.7,61773,90981,665,7.66,-16.71,7.74,6.53,0.97,62.31,32.32,2.99
Mon Apr 08 2019 16:00:00 GMT+0530,233,82.54,152,27.7,61773,90981,665,7.66,-16.71,7.74,6.53,0.97,62.31,32.32,2.99
Mon Apr 08 2019 17:00:00 GMT+0530,233,82.344,147,27.72,61578,90820,667,7.65,-15.95,7.75,6.5,0.97,62.18,32.28,2.99
Mon Apr 08 2019 18:00:00 GMT+0530,233,82.344,147,27.72,61578,90820,667,7.65,-15.95,7.75,6.5,0.97,62.18,32.28,2.99
Mon Apr 08 2019 19:00:00 GMT+0530,234,82.57,149,27.78,61371,90611,663,7.67,-14.44,7.72,6.56,0.97,62.09,32.34,3
Mon Apr 08 2019 20:00:00 GMT+0530,234,82.57,149,27.78,61371,90611,663,7.67,-14.44,7.72,6.56,0.97,62.09,32.34,3
Mon Apr 08 2019 21:00:00 GMT+0530,234,82.32,150,27.83,61419,90436,661,7.66,-14.99,7.74,6.6,0.97,62.31,32.3,2.99
Mon Apr 08 2019 22:00:00 GMT+0530,234,82.32,150,27.83,61419,90436,661,7.66,-14.99,7.74,6.6,0.97,62.31,32.3,2.99
Mon Apr 08 2019 23:00:00 GMT+0530,233,82.13,151,27.87,61526,90431,657,7.63,-15.87,7.73,6.58,0.97,62.14,32.34,2.99
Tue Apr 09 2019 00:00:00 GMT+0530,233,82.13,151,27.87,61526,90431,657,7.63,-15.87,7.73,6.58,0.97,62.14,32.34,2.99
Tue Apr 09 2019 01:00:00 GMT+0530,233,81.77,150,27.74,61575,90611,647,7.66,-16.11,7.75,6.57,0.97,62.18,32.33,3
Tue Apr 09 2019 02:00:00 GMT+0530,233,81.77,150,27.74,61575,90611,647,7.66,-16.11,7.75,6.57,0.97,62.18,32.33,3
Tue Apr 09 2019 03:00:00 GMT+0530,233,82.25,150,27.65,61585,90728,634,7.65,-16.85,7.75,6.58,0.97,62.22,32.33,3
Tue Apr 09 2019 04:00:00 GMT+0530,233,82.25,150,27.65,61585,90728,634,7.65,-16.85,7.75,6.58,0.97,62.22,32.33,3
